Year,Status,Value
2018,data.zertFG,0
2018,data.zertK,27
2019,data.zertFG,4
2019,data.zertK,23
2020,data.zertFG,4
2020,data.zertK,23
2021,data.zertFG,4
2021,data.zertK,23
2022,data.zertFG,5
2022,data.zertK,22
2023,data.zertFG,6
2023,data.zertK,21
